### 2005
American Bath Flow and Rainfall Summary 2005
	2005-01-05		2005-02-05		2005-03-05		2005-04-05		2005-05-05		2005-06-05		2005-07-05		2005-08-05		2005-09-05		2005-10-05		2005-11-05		2005-12-05
DAY	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain
1	1.767	0.15	0.944	0	1.075	0.25	0.822	0	2.17	0	0.799	0	1.119	0.65	0.721	0	1.525	0	0.921	0	0.734	0.35	1.225	0
2	1.886	0.15	0.948	0	1.259	0	1.129	0.5	1.059	0	0.803	0	0.782	0	0.761	0	0.895	0	0.873	0	1.066	0	1.027	0
3	4.272	1.15	0.942	0	1.1	0	2.023	0.2	0.92	0	0.797	0	0.808	0	0.65	0	0.67	0	0.837	0	0.889	0	0.868	0
4	3.067	0.7	0.855	0	1.12	0	1.226	0	0.9	0	0.704	0	0.756	0	0.71	0	0.729	0	0.821	0	0.761	0	0.906	0.2
5	3.797	1.4	1.179	0	1.448	0	1.019	0	0.806	0	0.728	0	0.834	0	0.661	0	0.765	0	0.818	0	0.648	0	0.881	0
6	2.58	0	1.634	0	1.776	0	0.906	0	0.831	0	0.876	0.1	0.932	0.1	0.749	0	0.748	0	0.823	0	0.74	0.15	0.844	0
7	1.998	0	3.025	0.6	1.411	0.3	0.854	0	0.802	0.1	0.87	0	0.753	0	0.789	0	0.702	0	0.861	0	2.304	0	0.8	0
8	1.486	0.5	2.948	0.2	1.254	0	1.089	0.2	0.88	0	0.85	0	0.732	0	0.704	0	0.715	0	0.788	0	0.7	0	0.738	0
9	2.143	0	2.23	0.1	1.158	0	0.806	0	0.804	0	0.91	0	0.82	0.2	1.031	0.25	1.095	0.75	0.784	0	0.949	0.4	0.76	0.5
10	2.479	0.25	1.579	0.1	1.079	0.15	0.856	0	0.795	0	0.857	0	0.737	0	0.774	0	0.777	0	0.767	0	0.885	0	0.695	0
11	4.166	1.7	1.2	0	1.139	0.1	0.853	0	0.832	0	0.836	0	0.776	0	0.707	0	0.743	0	0.855	0.2	0.714	0	0.791	0
12	3.716	0.1	1.23	0	1.28	0	0.785	0	0.809	0	0.948	0	0.734	0	0.716	0	0.673	0	0.837	0.15	0.711	0	0.877	0
13	3.487	0.75	1.413	0.1	1.147	0	0.814	0	0.821	0	1.084	0.55	0.745	0	0.748	0	0.69	0	0.797	0	0.693	0.1	0.855	0
14	2.042	0	1.929	0.1	1.102	0	0.756	0	0.806	0.05	0.952	0	0.72	0.2	1.555	1.9	0.703	0	0.728	0.1	0.789	0	0.746	0
15	1.498	0.1	1.659	0	1.095	0	0.716	0	0.99	0.35	0.927	0	0.756	0	0.934	0.1	0.748	0	0.648	0	0.903	0.55	0.733	0
16	1.285	0	2.28	0.4	1.106	0	0.8	0	0.857	0.05	0.773	0	0.793	0.1	0.797	0.1	1.377	1.5	0.718	0	3.044	1.45	1.104	0.8
17	1.19	0	1.495	0	0.845	0	0.74	0	0.807	0	0.857	0	0.848	0.15	0.72	0	1.525	0	0.803	0	1.799	0.15	1.064	0
18	1.061	0.15	1.257	0	0.831	0	0.691	0	0.751	0	0.752	0	0.666	0	0.797	0	0.867	0	0.686	0	1.127	0	0.905	0
19	1.016	0	1.161	0.1	1.17	0.35	0.736	0	0.822	0	0.761	0	1.216	0.6	0.732	0.1	0.753	0	0.928	0	0.806	0	0.884	0
20	1.031	0.15	1.809	0.2	1.063	0	0.747	0	1.327	0.55	0.769	0	0.828	0	0.603	0	0.821	0.1	0.721	0	0.801	0	0.834	0
21	0.829	0.3	1.59	0	0.889	0	1.271	0.7	0.83	0	0.891	0	0.761	0	0.72	0	0.952	0	0.953	0.25	0.882	0	0.772	0
22	1.088	0.1	1.282	0	1.01	0	0.922	0.2	0.807	0	0.736	0	1.327	1.1	0.764	0	0.732	0	0.963	0.25	0.802	0	0.787	0
23	1.038	0	1.204	0	1.342	0.1	1.908	1.4	0.967	0.15	0.834	0	0.921	0	0.702	0	1.411	1.25	0.805	0	0.713	0	0.866	0
24	0.985	0	1.132	0	1.138	0.2	3.309	0.75	0.882	0.1	0.786	0	0.778	0	0.696	0	1.446	0.1	1.511	1.65	0.823	0.1	0.945	0.25
25	1.008	0	1.105	0	1.969	0.3	2.857	0.4	0.881	0.05	0.74	0.2	0.786	0	0.703	0	1.761	0.5	3.013	0.6	0.905	0	1.799	0.6
26	0.973	0	1.317	0	1.519	0	1.907	0	0.798	0	0.855	0	0.808	0.15	0.688	0	5.761	2.15	1.592	0	0.681	0	2.902	0
27	0.916	0	0.994	0	1.219	0	2.486	0.65	0.718	0	0.857	0	1.246	0.7	0.7	0	2.441	0	1.035	0	0.74	0.25	2.376	0
28	0.79	0	1.269	0	1.046	0	1.703	0	0.809	0	0.797	0.1	1.143	0.2	0.693	0	1.214	0	0.788	0	0.915	0.1	2.031	0
29	0.955	0.2			0.933	0	1.228	0	0.781	0	0.957	0.2	0.786	0	0.698	0	1.3	0.4	0.848	0	2.609	1.6	3.093	1.1
30	1.062	0			0.933	0	1.051	0.15	0.81	0	0.891	0	7.15	0	0.674	0	1.223	0	0.786	0	2.053	0	2.774	0.1
31	0.918	0			0.905	0			0.81	0.1			0.737	0	2.437	3.1			0.816	0			1.818	0.3
Total	56.529	7.85	41.61	1.9	36.361	1.75	37.01	5.15	27.882	1.5	25.197	1.15	32.798	4.15	25.334	5.55	35.762	6.75	29.124	3.2	32.186	5.2	37.7	3.85
Avg	1.82351612903226	0.253225806451613	1.48607142857143	0.0678571428571429	1.17293548387097	0.0564516129032258	1.23366666666667	0.171666666666667	0.89941935483871	0.0483870967741936	0.8399	0.0383333333333333	1.058	0.133870967741936	0.817225806451613	0.179032258064516	1.19206666666667	0.225	0.939483870967742	0.103225806451613	1.07286666666667	0.173333333333333	1.21612903225806	0.124193548387097
Max	4.272	1.7	3.025	0.6	1.969	0.35	3.309	1.4	2.17	0.55	1.084	0.55	7.15	1.1	2.437	3.1	5.761	2.15	3.013	1.65	3.044	1.6	3.093	1.1
Min	0.79	0	0.855	0	0.831	0	0.691	0	0.718	0	0.704	0	0.666	0	0.603	0	0.67	0	0.648	0	0.648	0	0.695	0

### 2006
										American Bath Flow and Rainfall Summary 2006
	2006-01-05		2006-02-06		2006-03-06		2006-04-06		2006-05-06		2006-06-06		2006-07-06		2006-08-06		2006-09-06		2006-10-06		2006-11-06		2006-12-06
