### Sheet1
Bath Trunk Sewer
Amortization Schedule
Principle	1320000
Interest Rate	0.01
Term	20
Payments	73148.2156555278
	Debt Remaining	Payment	Interest	Principle
	1320000	1	13200	59948.2156555278
	1260051.78434447	2	12600.5178434447	60547.6978120831
	1199504.08653239	3	11995.0408653239	61153.1747902039
	1138350.91174219	4	11383.5091174219	61764.706538106
	1076586.20520408	5	10765.8620520408	62382.353603487
	1014203.85160059	6	10142.0385160059	63006.1771395219
	951197.67446107	7	9511.97674461071	63636.2389109171
	887561.435550153	8	8875.61435550153	64272.6013000263
	823288.834250127	9	8232.88834250127	64915.3273130265
	758373.506937101	10	7583.73506937101	65564.4805861568
	692809.026350944	11	6928.09026350944	66220.1253920184
	626588.900958925	12	6265.88900958925	66882.3266459386
	559706.574312987	13	5597.06574312987	67551.1499123979
	492155.424400589	14	4921.55424400589	68226.6614115219
	423928.762989067	15	4239.28762989067	68908.9280256371
	355019.83496343	16	3550.1983496343	69598.0173058935
	285421.817657536	17	2854.21817657536	70293.9974789524
	215127.820178584	18	2151.27820178584	70996.937453742
	144130.882724842	19	1441.30882724842	71706.9068282794
	72423.9758965626	20	724.239758965626	72423.9758965622
