election,election_date,section,contest,choice,total,vote_pct,election_day,absentee,provisional
2019 General Election,2019-11-05,statistics,,Election Day Precincts Reporting,88 of 88,,88,0,0
2019 General Election,2019-11-05,statistics,,Registered Voters - Total,"64,568",,,,
2019 General Election,2019-11-05,statistics,,Ballots Cast - Total,"12,496",,"10,756","1,630",110
2019 General Election,2019-11-05,statistics,,Voter Turnout - Total,,19.35%,,,
2024 General Election,2024-11-05,statistics,,Registered Voters - Total,"66,201",,,,
2024 General Election,2024-11-05,statistics,,Ballots Cast - Total,"46,845",,"27,429","18,729",687
2024 General Election,2024-11-05,statistics,,Ballots Cast - Blank,1,,0,1,0
2024 General Election,2024-11-05,statistics,,Voter Turnout - Total,,70.76%,,,
2026 Primary Election,2026-05-05,statistics,,Election Day Precincts Reporting,88 of 88,,88,0,0
2026 Primary Election,2026-05-05,statistics,,Registered Voters - Total,"63,151",,,,
2026 Primary Election,2026-05-05,statistics,,Registered Voters - Democratic,"3,669",,,,
2026 Primary Election,2026-05-05,statistics,,Registered Voters - Republican,"15,348",,,,
2026 Primary Election,2026-05-05,statistics,,Registered Voters - Libertarian,0,,,,
2026 Primary Election,2026-05-05,statistics,,Registered Voters - Nonpartisan,"44,134",,,,
2026 Primary Election,2026-05-05,statistics,,Ballots Cast - Total,"12,815",,"10,820","1,953",42
2026 Primary Election,2026-05-05,statistics,,Ballots Cast - Democratic,"3,426",,"2,601",814,11
2026 Primary Election,2026-05-05,statistics,,Ballots Cast - Republican,"9,096",,"7,957","1,109",30
2026 Primary Election,2026-05-05,statistics,,Ballots Cast - Libertarian,85,,77,8,0
2026 Primary Election,2026-05-05,statistics,,Ballots Cast - Nonpartisan,208,,185,22,1
2026 Primary Election,2026-05-05,statistics,,Voter Turnout - Total,,20.29%,,,
