election,election_date,section,contest,choice,total,vote_pct,election_day,absentee,provisional
2024 General Election,2024-11-05,statistics,,Registered Voters - Total,"66,201",,,,
2024 General Election,2024-11-05,statistics,,Ballots Cast - Total,"46,845",,"27,429","18,729",687
2024 General Election,2024-11-05,statistics,,Ballots Cast - Blank,1,,0,1,0
2024 General Election,2024-11-05,statistics,,Voter Turnout - Total,,70.76%,,,
2024 General Election,2024-11-05,contest,For President and Vice President,Rep Donald J. Trump,"33,201",70.87%,"20,511","12,207",483
2024 General Election,2024-11-05,contest,For President and Vice President,Dem Kamala D. Harris,"12,754",27.23%,"6,346","6,216",192
2024 General Election,2024-11-05,contest,For President and Vice President,Lib Chase Oliver,211,0.45%,147,62,2
2024 General Election,2024-11-05,contest,For President and Vice President,Npc Richard Duncan,116,0.25%,69,44,3
2024 General Election,2024-11-05,contest,For President and Vice President,Write-In: (Invalid),111,0.24%,73,37,1
2024 General Election,2024-11-05,contest,For President and Vice President,Candidate Withdrawn,96,0.20%,60,34,2
2024 General Election,2024-11-05,contest,For President and Vice President,Opc Peter Sonski,79,0.17%,59,20,0
2024 General Election,2024-11-05,contest,For President and Vice President,Write-In: Claudia De la Cruz /,6,0.01%,6,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Karina Garcia Write-In: Cornel West / Melina,2,0.00%,2,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Write-In: Shiva Ayyadurai / Crystal,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Write-In: John Cheng / Wayne,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Waligorski Write-In: Cherunda Fox / Harlan,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,McVay Jr Write-In: Brian Kienitz / Christina,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Johnston Write-In: Jay J. Bowman / De G,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Bowman Write-In: Christ Garrity / Cody,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Write-In: William Nalbach / Willis,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Write-In Totals,119,0.25%,81,37,1
2024 General Election,2024-11-05,contest,For President and Vice President,Not Assigned,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For President and Vice President,Overvotes,89,0.19%,51,35,3
2024 General Election,2024-11-05,contest,For President and Vice President,Undervotes,180,0.38%,105,74,1
2024 General Election,2024-11-05,contest,For President and Vice President,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-1-25),Rep Megan E. Shanahan,"30,988",66.15%,"18,989","11,593",406
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-1-25),Dem Michael P. Donnelly,"12,175",25.99%,"6,227","5,771",177
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-1-25),Overvotes,12,0.03%,7,5,0
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-1-25),Undervotes,"3,670",7.83%,"2,206","1,360",104
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-1-25),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-2-25),Rep Joseph T. Deters,"31,472",67.18%,"19,176","11,879",417
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-2-25),Dem Melody J. Stewart,"13,078",27.92%,"6,782","6,098",198
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-2-25),Overvotes,12,0.03%,9,3,0
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-2-25),Undervotes,"2,283",4.87%,"1,462",749,72
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (1-2-25),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (UTE 12-31-26),Rep Daniel R. Hawkins,"31,368",66.96%,"19,097","11,850",421
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (UTE 12-31-26),Dem Lisa Forbes,"12,794",27.31%,"6,616","5,995",183
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (UTE 12-31-26),Overvotes,17,0.04%,10,7,0
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (UTE 12-31-26),Undervotes,"2,666",5.69%,"1,706",877,83
2024 General Election,2024-11-05,contest,For Justice of the Supreme Court (UTE 12-31-26),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For U.S. Senator,Rep Bernie Moreno,"30,208",64.48%,"18,305","11,495",408
2024 General Election,2024-11-05,contest,For U.S. Senator,Dem Sherrod Brown,"14,120",30.14%,"7,436","6,489",195
2024 General Election,2024-11-05,contest,For U.S. Senator,Lib Don Kissick,"1,655",3.53%,"1,161",449,45
2024 General Election,2024-11-05,contest,For U.S. Senator,Write-In: (Invalid),36,0.08%,24,12,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Write-In: Tariq Shabazz,3,0.01%,3,0,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Write-In: Stephen Faris,1,0.00%,0,1,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Write-In: Nathan Russell,1,0.00%,1,0,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Write-In: David Allen Pastorius,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Write-In Totals,41,0.09%,28,13,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Not Assigned,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Overvotes,9,0.02%,6,3,0
2024 General Election,2024-11-05,contest,For U.S. Senator,Undervotes,812,1.73%,493,280,39
2024 General Election,2024-11-05,contest,For U.S. Senator,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Representative to Congress (4th District),Rep Jim Jordan,"32,357",69.07%,"19,809","12,105",443
2024 General Election,2024-11-05,contest,For Representative to Congress (4th District),Dem Tamie Wilson,"13,433",28.68%,"6,954","6,280",199
2024 General Election,2024-11-05,contest,For Representative to Congress (4th District),Overvotes,5,0.01%,3,1,1
2024 General Election,2024-11-05,contest,For Representative to Congress (4th District),Undervotes,"1,050",2.24%,663,343,44
2024 General Election,2024-11-05,contest,For Representative to Congress (4th District),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For State Senator (12th District),Rep Susan Manchester,"35,224",75.19%,"21,466","13,295",463
2024 General Election,2024-11-05,contest,For State Senator (12th District),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For State Senator (12th District),Undervotes,"11,621",24.81%,"5,963","5,434",224
