frs_registry_id,name,npdes_id,npdes_ids_secondary,ownership,facility_type,permit_type,design_flow_mgd,design_flow_missing,receiving_water,huc8,huc8_name,huc12,county,latitude,longitude,compliance_status,informal_enf_count,formal_enf_count,in_lima_subbasin,ottawa_discharge,queried_huc8
110071323171,1134 COUNTY ROAD 40,INRA10246,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.380883,-85.139532,,0,,,,04100003
110071363256,17609 LOCHNER ROAD POND,INRA10952,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,ALLEN COUNTY,41.251167,-85.00661,,0,,,,04100003
110071435713,2023 BUILDING ADDITION FOR LSM MANUFACTURING,INRA11810,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,ALLEN COUNTY,41.226934,-84.961608,,0,,,,04100003
110072003774,2025 BUILDING ADDITION FOR AUBURN WATER,INRA16584,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.37229,-85.06816,,0,,,,04100003
110071954860,2025 GRABILL STREET IMPROVEMENTS 24-2,INRA15619,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,041000030804,ALLEN COUNTY,41.21025,-84.96873,,0,,,,04100003
110072107594,2025 NEW BUILDING,INRA17126,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,,41.13879,-85.11836,,0,,,,04100003
110072142271,2026 NEW BARN FOR FORTMAN,INRA17548,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,,41.38016,-85.2174,,0,,,,04100003
110071356788,202873 AUBURN ANIMAL CLINIC,INRA10904,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.366786,-85.023663,,0,,,,04100003
110071321460,223331- DUESENBERG PLACE SECTION XIV,INRA10247,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.353248,-85.032788,,0,,,,04100003
110071320998,223332-HUNTERS GLEN SECTION IX,INRA10248,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.366662,-85.025182,,0,,,,04100003
110071540795,223505 BAJCO DEVELOPMENT,INRA12819,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,ALLEN COUNTY,41.179168,-85.080954,,0,,,,04100003
110071709620,233544 BROWN AND SON,INRA13652,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.439768,-85.062652,,0,,,,04100003
110071923631,243853 - KHATANA PROPERTY,INRA15632,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,041000030806,ALLEN COUNTY,41.11972,-85.08027,,0,,,,04100003
110071954060,243990 - MKS DUPONT ROAD,INRA16063,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,ALLEN COUNTY,41.17853,-85.078455,,0,,,,04100003
110071541165,527 LEY DRIVE,INRA12922,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.361752,-85.083029,,0,,,,04100003
110070712387,6074-506 GARRETT AUBURN WALMART DISTRIBUTION CENTER,INRA11416,INRA05116,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.368889,-85.111667,,0,,,,04100003
110071886187,6339-CEDARVILLE ELEMENTARY SCHOOL,INRA15179,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,,41.195272,-85.0498,,0,,,,04100003
110071949743,76A-1 GRABILL SANITARY SEWER EXTENSION,INRA15617,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,ALLEN COUNTY,41.20964,-84.96056,,0,,,,04100003
110070078690,AAA GALVANIZING-HAMILTON INC. DBA AZZ GALVANIZING,INRM01504,,NON-POTW,NON-POTW,NPDES Individual Permit,,Y,FISH CREEK,04100003,St. Joseph,,STEUBEN,41.53108,-84.93158,,0,,,,04100003
110071954350,ALLEN CO. CULVERT REPLACEMENT; SPRINGFIELD RD OVER NATURAL DRAIN,INRA16012,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,ALLEN COUNTY,41.22392,-84.98045,,0,,,,04100003
110070928669,ALLEN COUNTY ROAD RECONSTRUCTION,INRA07251,,NON-POTW,NON-POTW,NPDES Individual Permit,,Y,,04100003,St. Joseph,,ALLEN COUNTY,41.200015,-85.067848,,0,,,,04100003
110071824447,ALLENDALE TREATMENT - AUBURN,INRA14416,,NON-POTW,NON-POTW,General Permit Covered Facility,,Y,,04100003,St. Joseph,,DEKALB COUNTY,41.33359,-85.07151,,0,,,,04100003
