frs_registry_id,name,npdes_id,npdes_ids_secondary,ownership,facility_type,permit_type,design_flow_mgd,design_flow_missing,receiving_water,huc8,huc8_name,huc12,county,latitude,longitude,compliance_status,informal_enf_count,formal_enf_count,in_lima_subbasin,ottawa_discharge,queried_huc8
110009911257,AMBOY TWP WWSL,MIG580008,,POTW,POTW,General Permit Covered Facility,,Y,SILVER CREEK,04100003,St. Joseph,041000030106,HILLSDALE COUNTY,41.70917,-84.57285,,1,,,,04100003
110009911284,AMBOY TWP-LK DIANE WWSL,MIG580013,,POTW,POTW,General Permit Covered Facility,,Y,"CLEAR FORK, UNNAMED TRIBUTARY TO CLEAR FORK",04100003,St. Joseph,041000030106,HILLSDALE,41.7172,-84.641,,1,,,,04100003
110069999678,AUBURN WWTP,IN0020672,,POTW,POTW,NPDES Individual Permit,4.5,,"CEDAR CR TO ST JOSEPH RIVER, CEDAR CREEK",04100003,St. Joseph,041000030702,DEKALB,41.348472,-85.060944,,0,,,,04100003
110009975401,"AVILLA WWTP, TOWN OF",IN0020664,,POTW,POTW,NPDES Individual Permit,0.6,,"CEDAR CR (LITTLE) VIA UNNAMED DITCH, CEDAR CR (LITTLE) VIA UNNAMED DITCH FROM KING LAKE",04100003,St. Joseph,041000030705,NOBLE,41.358083,-85.23375,,1,,,,04100003
110003127642,BUTLER WWTP,IN0022462,,POTW,POTW,NPDES Individual Permit,2.0,,"BIG RUN CR TO ST JOSEPH RIVER, BIG RUN CREEK",04100003,St. Joseph,041000030502,DE KALB,41.433222,-84.858889,Effluent - Non-monthly Average Limit,4,2,,,04100003
110009911275,CAMDEN WWSL,MIG580011,,POTW,POTW,General Permit Covered Facility,,Y,"WEST BRANCH OF ST. JOSEPH RIVER, WEST BRANCH SAINT JOSEPH RIVER",04100003,St. Joseph,041000030203,HILLSDALE,41.7576,-84.755,,2,,,,04100003
110055998933,CORUNNA WWTP,IN0047473,,POTW,POTW,NPDES Individual Permit,0.024,,CEDAR CR VIA JOHN DIEHL DITCH,04100003,St. Joseph,,DE KALB,41.434778,-85.156,,0,,,,04100003
110013794448,EDGERTON WWTP,OH0021164,,POTW,POTW,NPDES Individual Permit,0.3,,ST. JOSEPH RIVER,04100003,St. Joseph,041000030503,WILLIAMS,41.44846,-84.74808,,0,,,,04100003
110009975107,GARRETT WWTP,IN0022969,,POTW,POTW,NPDES Individual Permit,1.2,,"ERIE VIA CEDAR CR VIA GARRETT CITY DITCH, GARRETT CITY DITCH FROM GARRETT WWTP, LAKE ERIE VIA CEDAR CR VIA GARRETT CITY DITCH",04100003,St. Joseph,041000030707,DE KALB,41.341361,-85.129583,Effluent - Non-monthly Average Limit,7,,,,04100003
110006764992,HAMILTON LAKE CONSERVANCY DISTRICT,IN0050822,,POTW,POTW,NPDES Individual Permit,0.45,,FISH CREEK TO ST. JOSEPH RIVER,04100003,St. Joseph,041000030404,STEUBEN,41.53325,-84.896611,,2,,,,04100003
110009739890,LA OTTO REGIONAL SEWER DISTRICT,IN0058611,,POTW,POTW,NPDES Individual Permit,0.05,,CEDAR CR VIA BLACK CREEK,04100003,St. Joseph,041000030704,NOBLE,41.284,-85.210194,,0,,,,04100003
110040039080,MONTPELIER WWTP,OH0021831,,POTW,POTW,NPDES Individual Permit,1.0,,,04100003,St. Joseph,041000030304,WILLIAMS,41.58333,-84.6242,,0,,,,04100003
110006260410,NETTLE LAKE AREA STP,OH0053376,,POTW,POTW,NPDES Individual Permit,0.105,,,04100003,St. Joseph,041000030301,WILLIAMS,41.673464,-84.55407,,2,,,,04100003
110006260223,PIONEER WASTEWATER TREATMENT PLANT,OH0022535,,POTW,POTW,NPDES Individual Permit,0.5,,,04100003,St. Joseph,041000030106,WILLIAMS,41.67839,-84.55351,,0,,,,04100003
110006742855,PITTSFORD SSDS WWSL,MIG580006,,POTW,POTW,General Permit Covered Facility,,Y,UNNAMED TRIBUTARY TO THE EAST BRANCH ST. JOSEPH RI,04100003,St. Joseph,041000030102,HILLSDALE,41.862376,-84.480651,Compliance/Permit Schedule - Reporting,0,,,,04100003
110006742864,READING WWSL,MIG580009,,POTW,POTW,General Permit Covered Facility,,Y,UNNAMED TRIBUTARY TO PROUTY DRAIN,04100003,St. Joseph,041000030203,HILLSDALE,41.82513,-84.741986,,2,,,,04100003
110039931287,ST JOE - SPENCERVILLE RSD,IN0058441,,POTW,POTW,NPDES Individual Permit,0.17,,"ST JOSEPH R, ST JOSEPH RIVER",04100003,St. Joseph,041000030802,DE KALB,41.304694,-84.903694,Effluent - Monthly Average Limit,3,,,,04100003
110006260517,VILLAGE OF EDON,OH0095141,,POTW,POTW,NPDES Individual Permit,0.2,,,04100003,St. Joseph,041000030305,WILLIAMS,41.55635,-84.76825,Compliance/Permit Schedule - Violations,2,,,,04100003
110009975429,WATERLOO WASTEWATER IMPROVEMENTS PROJECT DIV. I,INRA13463,IN0020711 IN0109983,POTW,POTW,General Permit Covered Facility,0.369,,,04100003,St. Joseph,,DE KALB,41.430361,-85.010389,,0,,,,04100003
110024230018,BERNE WWTP,IN0021369,,POTW,POTW,NPDES Individual Permit,1.08,,"ST MARYS R VIA BLUE CR VIA HABEGGER, WABASH RIVER",04100004,St. Marys,051201010601,ADAMS,40.667972,-84.946917,,3,,,,04100004
110017695582,CHICKASAW SANITARY SEWER SYSTEM,OH0132691,,POTW,POTW,NPDES Individual Permit,0.237,,,04100004,St. Marys,051201010201,MERCER,40.42039,-84.49079,,0,,,,04100004
