object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
1,W,DOMESTIC,-84.18482,40.71286,GEOCODE,ALLEN,SHAWNEE,1983-10-10,80.0,867.5999755859375,LIMESTONE,,15.0,50.0,68.0,47,623522
2,W,DOMESTIC,-84.182673,40.693290999999995,DIGITIZED,ALLEN,SHAWNEE,1953-05-20,57.0,854.4000244140625,GRAVEL,,15.0,42.0,57.0,,100631
8,W,DOMESTIC,-84.32065,40.762589999999996,GEOCODE,ALLEN,AMANDA,1995-11-27,40.0,810.0,SAND & GRAVEL,CABLE TOOL,8.0,28.0,,,813002
9,W,DOMESTIC,-83.88622,40.71783,GEOCODE,ALLEN,AUGLAIZE,1988-06-05,125.0,1020.0999755859375,LIMESTONE,,20.0,70.0,88.0,85,673368
10,W,DOMESTIC,-83.98786,40.716629999999995,GEOCODE,ALLEN,AUGLAIZE,1991-03-07,84.0,977.5,GRAVEL,CABLE TOOL,15.0,60.0,84.0,,721373
13,W,COMMERCIAL,-83.96231999999999,40.670226,,ALLEN,AUGLAIZE,1968-07-08,250.0,990.0999755859375,LIMESTONE,,400.0,20.0,52.0,50,367571
14,W,PUBLIC/SEMI-PUB,-84.05274299999999,40.68721,DIGITIZED,ALLEN,PERRY,1955-10-18,112.0,933.0999755859375,LIMESTONE,,60.0,28.0,73.0,102,142832
15,W,DOMESTIC,-84.104366,40.665504,DIGITIZED,ALLEN,PERRY,1957-07-15,137.0,927.0999755859375,GRAVEL,,,,137.0,,201609
16,W,DOMESTIC,-84.00721999999999,40.764058,DIGITIZED,ALLEN,BATH,1965-07-06,65.0,903.0999755859375,LIMESTONE,,20.0,31.0,37.0,36,319443
17,W,DOMESTIC,-84.16772,40.80244,GEOCODE,ALLEN,SUGAR CREEK,1985-08-20,100.0,800.9000244140625,LIMESTONE,,3.0,18.0,25.0,25,629982
18,W,DOMESTIC,-84.22288999999999,40.73285,GEOCODE,ALLEN,SHAWNEE,1995-12-28,80.0,825.0,LIMESTONE,CABLE TOOL,10.0,45.0,58.0,56,819994
19,W,DOMESTIC,-84.20398999999999,40.68683,GEOCODE,ALLEN,SHAWNEE,1983-08-30,110.0,863.4000244140625,LIMESTONE,,20.0,20.0,47.0,44,622658
21,W,DOMESTIC,-83.91945,40.711279999999995,GEOCODE,ALLEN,AUGLAIZE,1970-12-01,62.0,995.5999755859375,LIMESTONE,,30.0,25.0,63.0,43,419666
22,W,DOMESTIC,-84.078766,40.692519,DIGITIZED,ALLEN,PERRY,1962-09-06,64.0,930.5,SAND & GRAVEL,,8.0,30.0,64.0,,258488
23,W,DOMESTIC,-84.10786399999999,40.703989,DIGITIZED,ALLEN,PERRY,1960-11-03,100.0,884.9000244140625,LIMESTONE,,6.0,38.0,43.0,43,160041
24,W,DOMESTIC,-83.899604,40.788036999999996,DIGITIZED,ALLEN,JACKSON,1960-02-16,46.0,926.0999755859375,LIMESTONE,,,9.0,17.0,10,210083
29,W,DOMESTIC,-83.99056,40.74559,GEOCODE,ALLEN,JACKSON,1990-06-25,62.0,927.7999877929688,LIMESTONE,ROTARY,15.0,21.0,54.0,50,715026
