object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
4945,W,,-84.163265,40.204484,DIGITIZED,SHELBY,ORANGE,1958-01-28,188.0,1042.300048828125,GRAVEL,,10.0,63.0,188.0,,197848
4946,W,,-84.14412399999999,40.214307,DIGITIZED,SHELBY,ORANGE,1963-06-07,145.0,1055.5999755859375,LIMESTONE,,12.0,39.0,135.0,135,297031
4947,W,,-84.155279,40.264010999999996,DIGITIZED,SHELBY,ORANGE,1969-03-10,109.0,799.7000122070312,GRAVEL,,13.0,83.0,109.0,,392901
4948,W,,-84.13563599999999,40.190697,DIGITIZED,SHELBY,ORANGE,1983-02-04,160.0,1052.699951171875,LIMESTONE,,25.0,38.0,142.0,140,640223
4956,W,DOMESTIC,-84.243141,40.267412,,SHELBY,WASHINGTON,1993-05-13,140.0,972.2000122070312,LIMESTONE,ROTARY,15.0,50.0,76.0,72,764059
5046,W,,-84.374005,40.198156,DIGITIZED,SHELBY,LORAMIE,1952-03-27,241.0,984.5,LIMESTONE,,25.0,36.0,236.0,238,86264
5055,W,,-84.33796699999999,40.369763,DIGITIZED,SHELBY,MCLEAN,1949-07-22,84.0,955.5999755859375,GRAVEL,,10.0,14.0,85.0,,36743
5060,W,,-84.35667,40.24773,,SHELBY,LORAMIE,1928-04-01,85.0,948.5999755859375,SAND & GRAVEL,ROTARY,20.0,21.0,87.0,,674769
5061,W,AGRIC/IRRIG,-84.133123,40.342982,,SHELBY,FRANKLIN,1988-10-04,100.0,1130.4000244140625,GRAVEL,ROTARY,350.0,34.0,100.0,,690158
5062,W,MONITOR,-84.18658599999999,40.378052,DIGITAL MAP,SHELBY,FRANKLIN,1990-08-11,157.0,,GRAVEL,ROTARY,20.0,40.0,157.0,,718719
5063,W,MONITOR,-84.19876,40.375707,DIGITAL MAP,SHELBY,FRANKLIN,1990-09-07,147.0,,SAND & GRAVEL,ROTARY,40.0,38.0,143.0,,718715
