Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
,98,95,90,85,80,75,70,60,50,40,30,20,10,,2,5,10,20,50
"03092000—Kale Creek near Pricetown OH—Statistics based on water years: 1975–1993
Harmonic mean flow: 0.89 ft3/s—Average streamflow: 26.7 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.07,0.18,0.41,0.85,1.38,1.9,2.5,4.2,6.3,9.2,14,24,57,1,0.14,0.04,0.02,0,0
,,,,,,,,,,,,,,7,0.22,0.07,0.03,0,0
,,,,,,,,,,,,,,30,0.64,0.22,0.12,0.06,0.03
,,,,,,,,,,,,,,90,2.64,0.73,0.34,0.17,0.07
May–November,0.06,0.1,0.21,0.36,0.56,0.82,1.1,1.9,2.9,4.5,7.2,12,29,1,0.12,0.04,0.02,0,0
,,,,,,,,,,,,,,7,0.2,0.07,0.03,0,0
,,,,,,,,,,,,,,30,0.6,0.21,0.11,0.06,0.03
,,,,,,,,,,,,,,90,2.57,0.67,0.31,0.16,0.07
December–February,1.3,1.8,2.5,3.4,4.5,5.4,6,8.2,11,16,23,40,90,1,2.47,1.43,1.04,0.79,0.57
,,,,,,,,,,,,,,7,2.86,1.68,1.26,0.98,0.74
,,,,,,,,,,,,,,30,8.35,3.98,2.72,2,1.42
,,,,,,,,,,,,,,90,41.3,24.3,16.7,11.6,7.28
September–November,0.06,0.09,0.21,0.37,0.64,0.98,1.43,2.4,4,5.9,9,14,33,1,0.31,0.07,0.03,0,0
,,,,,,,,,,,,,,7,0.48,0.11,0.04,0,0
,,,,,,,,,,,,,,30,2.01,0.41,0.16,0.07,0.02
