Table 2.1. Selected streamflow duration and low-frequency statistics for partial-record streamflow gages in Ohio.,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic foot per second]",,,,,,,,,
Annual/seasonal period,Streamflow that was equaled or exceeded for the indicated percentage of time (ft3/s),,,,,Number of days in averaging period,Minimum average low flow ( ft3/s) for indicated recurrence interval (years),,
,98,95,90,85,80,,2,10,20
"03115385—Clear Fork near Rinard Mills OH—Statistics based on water years: 1998–2020
Index site: 03115400—Little Muskingum River at Bloomfield OH
Coefficient of determination (R2) of ordinary least squares regression that defined relationship between gage and its index: 0.76",,,,,,,,,
April–March,0.27,0.83,2.27,4.62,8.7,1,0.47,0.03,0.01
,,,,,,7,0.68,0.05,0.02
,,,,,,30,2.31,0.16,0.07
,,,,,,90,16.2,1.29,0.6
May–November,0.12,0.4,1.04,1.87,2.87,1,0.45,0.03,0.01
,,,,,,7,0.63,0.04,0.02
,,,,,,30,2,0.15,0.07
,,,,,,90,14.4,1.28,0.61
December–February,10.6,15.9,29.6,44.9,66.1,1,23.6,5.78,3.93
,,,,,,7,36.2,9.29,6.34
,,,,,,30,181,38.1,23
,,,,,,90,609,292,235
September–November,0.06,0.16,0.45,1.05,1.6,1,0.55,0.03,0.01
,,,,,,7,0.93,0.05,0.02
,,,,,,30,4.49,0.21,0.09
,,,,,,90,54.1,5.68,2.97
"03129205—Black Fork Mohican River near Shelby OH—Statistics based on water years: 2001–2013
Index site: 04197100—Honey Creek at Melmore OH
Coefficient of determination (R2) of ordinary least squares regression that defined relationship between gage and its index: 0.77",,,,,,,,,
April–March,2.53,3.28,4.27,5.27,3.35,1,3.24,1.61,1.28
,,,,,,7,3.61,1.85,1.48
,,,,,,30,4.59,2.35,1.92
,,,,,,90,7.59,3.61,2.98
May–November,2.17,2.83,3.58,4.19,4.78,1,3.31,1.63,1.28
,,,,,,7,3.61,1.85,1.48
,,,,,,30,4.73,2.35,1.92
,,,,,,90,7.87,3.76,3.1
December–February,4.11,5.82,7.86,9.28,10.4,1,8.24,4.45,3.66
,,,,,,7,9.05,4.86,3.99
,,,,,,30,15,7.01,5.49
,,,,,,90,33,22.2,19.5
September–November,1.97,2.51,2.95,3.49,3.99,1,3.43,1.61,1.27
,,,,,,7,3.87,1.86,1.49
,,,,,,30,5.57,2.48,2
,,,,,,90,13.9,5.71,4.36
"03144471—Little Wakatomika Creek near Trinway OH—Statistics based on water years: 2003–2016
Index site: 03144000—Wakatomika Creek at Melmore OH
Coefficient of determination (R2) of ordinary least squares regression that defined relationship between gage and its index: 0.84",,,,,,,,,
April–March,2.93,4.03,5.72,7.8,10.5,1,2.56,1.88,1.6
,,,,,,7,4.04,0.45,1.78
,,,,,,30,5.72,0.7,2.45
,,,,,,90,10.9,1.83,3.84
May–November,2.61,3.31,4.29,5.21,6.44,1,3.57,0.35,1.59
,,,,,,7,4.07,0.47,1.77
,,,,,,30,5.75,0.74,2.46
,,,,,,90,11.1,1.99,3.8
December–February,9.39,12.1,15.9,20.4,25.4,1,16.4,2.83,6.07
,,,,,,7,20,3.42,7.19
,,,,,,30,42.8,7.38,13.25
,,,,,,90,129,83,44
September–November,2.39,2.93,3.69,4.29,5.21,1,3.87,0.33,1.68
,,,,,,7,4.66,0.45,1.82
,,,,,,30,7.93,0.83,2.53
,,,,,,90,23.6,4.8,5.9
"03237121 - Scioto Brush Creek near Rarden OH—Statistics based on water years: 2008–2022
Index site: 03237500—Ohio Brush Creek near West Union OH
Coefficient of determination (R2) of ordinary least squares regression that defined relationship between gage and its index: 0.81",,,,,,,,,
April–March,0.86,1.48,2.3,3.22,4.27,1,1.39,0.47,0.34
,,,,,,7,1.62,0.56,0.4
,,,,,,30,2.53,0.77,0.54
,,,,,,90,5.89,1.84,1.28
May–November,0.68,0.98,1.61,2.14,2.67,1,1.37,0.47,0.34
,,,,,,7,1.61,0.56,0.41
,,,,,,30,2.5,0.77,0.55
,,,,,,90,5.95,1.86,1.28
December–February,3.05,5.51,8.37,10,11.5,1,7.06,2.7,1.95
,,,,,,7,8.34,3.43,2.57
,,,,,,30,19.3,8.67,6.53
,,,,,,90,35.4,25.2,22.7
September–November,0.5,0.76,1.09,1.52,1.86,1,1.5,0.48,0.34
,,,,,,7,1.73,0.57,0.41
,,,,,,30,3.22,0.8,0.53
,,,,,,90,12,3.41,2.24
"03238423—North Fork White Oak Creek near Sardinia OH—Statistics based on water years: 1981, 2008–2020
Index site: 03237500—Ohio Brush Creek near West Union OH
Coefficient of determination (R2) of Ordinary least squares regression that defined relationship between gage and its index: 0.82",,,,,,,,,
April–March,0.07,0.18,0.42,0.79,1.35,1,0.16,0.02,0.01
,,,,,,7,0.29,0.29,0.02
,,,,,,30,0.5,0.05,0.03
,,,,,,90,2.47,0.28,0.14
May–November,0.04,0.09,0.22,0.37,0.56,1,0.16,0.02,0.01
,,,,,,7,0.21,0.03,0.02
,,,,,,30,0.49,0.06,0.03
,,,,,,90,2.52,0.28,0.14
December–February,0.72,2.18,4.8,6.75,8.66,1,3.48,0.57,0.31
,,,,,,7,4.77,0.9,0.52
,,,,,,30,23.1,5.13,3
,,,,,,90,72.4,38.2,31.4
September–November,0.02,0.05,0.1,0.19,0.28,1,0.19,0.02,0.01
,,,,,,7,0.25,0.03,0.02
,,,,,,30,0.79,0.06,0.03
,,,,,,90,9.38,0.88,0.4
